år,region,inkomst,arbetslösa,befolkning,arbetslöshet,Moderaterna,Centerpartiet,Folkpartiet,Kristdemokraterna,Miljöpartiet,Socialdemokraterna,Vänsterpartiet,Sverigedemokraterna,övriga partier
2010,Västervik,173.1,1094,36206,3.02159863,25.8,7.3,5.5,4.7,5.4,39.9,5.1,5.2,1.1
2010,Vimmerby,169.2,436,15473,2.817811672,25.6,12.4,3.9,6.3,4.6,35.6,4.2,6.3,1
2010,Borgholm,158.3,208,10676,1.948295242,31.7,16.8,5,7.3,6.2,23.3,3.6,5.2,1
2010,Gotland,164.4,1558,57269,2.720494508,25.2,14.6,4.6,2.9,8.4,33.3,6.1,3.2,1.7
2010,Olofström,173,531,12988,4.088389282,18.9,6.1,3.7,4.5,3.6,47,5.6,9.8,0.8
2010,Karlskrona,177,1923,64032,3.003185907,28.7,5.6,6.5,4.3,5.6,35.3,4.4,8.9,0.8
2010,Ronneby,170.2,877,28254,3.103985276,26.8,7.5,4.7,3.5,5,34.7,5.9,10.9,1
2010,Karlshamn,179.7,978,31143,3.140352567,26.3,5,5.3,3.5,6.3,37.3,6.1,9.4,0.9
2010,Sölvesborg,170.5,605,16810,3.599048186,31.5,4.8,4.1,4,4.1,34.4,4,12.2,0.9
2010,Svalöv,159.9,376,13242,2.839450234,27.4,11.7,5.7,3.4,4.8,28.9,3.5,13.1,1.5
2010,Staffanstorp,193.3,393,22259,1.765577968,42.5,5.1,8.1,3.8,5.1,22.4,2.1,8.7,2.3
2010,Burlöv,162.1,512,16701,3.06568469,30.9,2.7,6.9,2.5,5.3,33.6,3.8,12.5,1.9
2010,Vellinge,218.2,520,33303,1.561420893,59.1,4.3,8.7,6.2,3.2,9.4,0.9,7,1.4
2010,Östra Göinge,164.3,437,13590,3.215599706,24.8,6.2,6,4.2,4.3,36.4,3.5,13.7,1
2010,Örkelljunga,154.2,249,9631,2.585401308,29.4,6.6,5.9,11.5,4.1,25.7,3,12.4,1.5
2010,Bjuv,153.9,518,14841,3.49033084,25.9,3.7,4.9,2.7,3.5,40.6,3.2,14.9,0.7
2010,Kävlinge,195.6,471,29013,1.623410195,40,5.3,8.6,3.6,4.7,25.4,2.1,9.1,1.2
2010,Lomma,235.4,235,21559,1.090032005,49.8,5.5,10.7,5.6,4.9,14.2,1.4,5.9,2.1
2010,Svedala,185.1,378,19822,1.906972051,39.5,4,7.3,3.2,4.6,24.2,2.2,13.3,1.7
2010,Skurup,165.2,451,14981,3.010479941,35.2,7.3,6.3,2.8,4.2,26.3,2.7,13.5,1.6
2010,Sjöbo,161.5,479,18112,2.644655477,35,8.6,4.9,3.9,4.1,23.5,2.9,15.8,1.3
2010,Hörby,159,346,14840,2.331536388,33.2,9.8,6,4.2,4.5,22.6,2.6,14,3
2010,Höör,170.5,312,15460,2.018111255,34.6,6.2,7.2,4.6,7.4,22.8,3.7,11.5,1.8
2010,Tomelilla,157,440,12914,3.407155026,31.1,9.8,4.5,2.9,4.9,28.3,3,13.4,2.1
2010,Bromölla,172.1,347,12272,2.827574967,22.4,3.5,5.5,2.8,3.9,41.1,4.6,15.4,0.7
2010,Osby,165.3,330,12724,2.593524049,24.5,9.1,4.7,5.5,5.3,34.4,3,12.8,0.6
2010,Perstorp,157.4,218,7061,3.087381391,28.2,5.6,5.1,4,4.3,35.7,4.7,11.1,1.5
2010,Klippan,158.4,511,16515,3.094156827,30.9,5.7,5.1,5.2,3.7,31.9,4,12.3,1.2
2010,Åstorp,153.3,522,14737,3.542104906,29,4.4,4.7,3.8,3.9,38.5,2.7,11.9,1.1
2010,Båstad,186.1,290,14278,2.031096792,44.1,12.1,7.4,7.2,5.5,15.3,1.9,5.6,0.9
2010,Malmö,156.5,11032,298963,3.69008874,32.6,2.8,7,3.1,8.8,28.7,6,7.8,3.2
2010,Lund,186.8,2131,110488,1.928716241,32.1,6.6,11.1,5,12.8,19.5,5.8,5,2.2
2010,Landskrona,157.8,1720,41724,4.122327677,28.2,2.5,11.7,2.5,4.3,35.8,4.1,9.9,1
2010,Helsingborg,181.1,4286,129177,3.317928114,36.2,3.3,7.9,4.4,6.5,27.7,3.4,9,1.5
2010,Höganäs,192.9,594,24637,2.411007834,42.4,5.4,9.1,6.7,5.9,20.2,2.6,6.4,1.5
2010,Eslöv,167.1,783,31587,2.478867889,29.6,6.9,7,2.8,4.8,32.2,3.2,11.8,1.6
2010,Ystad,183,660,28338,2.32902816,37.9,5.7,6.5,3.5,5.5,28.4,2.6,8.4,1.5
2010,Trelleborg,170.5,1195,42219,2.830479168,34.1,4,5.8,3.7,3.9,30.6,2.5,13.8,1.7
2010,Kristianstad,171.5,2537,79543,3.189469846,31.6,5.4,9,3.8,5.5,28.6,3.3,11.8,1
2010,Simrishamn,168.4,513,19297,2.658444318,36.2,7.4,6.1,4.6,6.8,26.5,3.4,7.6,1.3
2010,Ängelholm,186.5,1099,39394,2.789764939,40.7,6.5,6.5,5.8,6,22.6,2.7,7.6,1.5
2010,Hässleholm,164.3,1630,50107,3.253038498,29,8,5.9,5.8,6,28.3,3.2,12.9,0.9
2010,Hylte,165.5,282,10177,2.770954112,25.5,12.7,6.6,5.1,3.8,34.5,3.2,6.9,1.6
2010,Halmstad,179.8,2477,91800,2.698257081,31.6,6.1,7.6,5.1,6.4,32.4,4,5.3,1.7
2010,Laholm,165.9,679,23390,2.902949979,33.4,12.9,5.7,4.7,4.6,25.3,3.1,8.7,1.5
2010,Falkenberg,169.5,1298,41008,3.165236052,28.9,12.6,6.8,4.8,6,30,3.7,5.8,1.4
2010,Varberg,182.1,1312,58084,2.258797603,31.8,9.9,7.4,5.3,6.2,29,4.2,4.8,1.4
2010,Kungsbacka,209.8,1419,75025,1.891369543,45.5,7.4,9.7,7.3,5.7,15.9,2.6,4.6,1.3
2010,Härryda,203.9,638,34463,1.851260772,36.3,6,10.5,6.4,7.6,21.9,4.6,5.6,1.2
2010,Partille,200.7,756,35084,2.154828412,33.9,4,10,7.1,7.6,24.8,5.1,5.8,1.7
2010,Öckerö,193.9,202,12449,1.622620291,36.2,2.8,8.2,19.3,5.9,18.9,3.1,4.5,1.1
2010,Stenungsund,196.5,519,24292,2.136505846,36.1,5.9,8.6,6.2,7.1,25.8,4.2,4.9,1.3
2010,Tjörn,199.4,291,14955,1.945837513,36.1,5.6,9.9,13.2,5.9,20.4,3,5,0.9
2010,Orust,182.5,368,15221,2.417712371,33.9,8.8,8.3,6.3,6.4,25.6,4.7,4.7,1.2
2010,Sotenäs,187.3,194,9052,2.143172779,39.1,4.6,8.2,8,4.3,27.2,3.7,4.2,0.7
2010,Munkedal,159.5,291,10181,2.858265396,26,11.8,5.3,7,3.9,32.8,5.1,7.2,0.9
2010,Tanum,163.2,272,12370,2.19886823,32.6,15.4,9.2,5.8,6.3,22,3.4,4.4,1
2010,Dals-Ed,148.4,157,4692,3.346121057,27.2,15.8,4.6,9.2,3.7,28.4,3.9,6.1,1
2010,Färgelanda,156.7,265,6654,3.982566877,24.5,14.9,4.9,5.2,3,34.1,4.1,8.6,0.8
2010,Ale,182.7,687,27442,2.503461847,28.2,5,6.5,5.8,6,33,6.1,8.1,1.4
2010,Lerum,197.6,709,38580,1.837739762,35.1,5.1,10,7,8.8,22.3,5.1,5.4,1.2
2010,Vårgårda,165.9,298,10943,2.723202047,23.2,11.9,8.2,13.2,6.2,26.6,4.1,5.9,0.8
2010,Bollebygd,187.2,176,8375,2.101492537,33.1,7.2,6.5,6.5,6.1,26.6,4.7,8.2,1
2010,Grästorp,163.4,175,5776,3.029778393,31.6,14.1,5.2,4.2,3.6,30.5,3.5,6.3,1
2010,Essunga,162,129,5564,2.318475917,31.4,12.6,5,6.4,4.2,29.3,3.9,6.2,1
2010,Karlsborg,180.3,143,6752,2.117890995,26.9,11,7.7,6.5,4.3,33.6,3.4,5.8,0.7
2010,Gullspång,158.1,153,5291,2.891702892,22.7,7.5,4.9,5.3,3.7,43.9,5.1,6.2,0.7
2010,Tranemo,172.2,225,11587,1.941831363,26.7,14.1,5.9,5.5,4.9,32,3.1,6.9,0.9
2010,Bengtsfors,156,275,9791,2.808701869,23.1,10.9,5.2,5.8,4.9,38.5,5.1,5.6,0.8
2010,Mellerud,148.2,359,9179,3.911101427,26.5,13.3,6.1,6.4,4.5,29.7,5,7.7,0.7
2010,Lilla Edet,172.1,362,12578,2.878041024,22.3,6.5,6,3.8,4.7,37.9,7.3,10.1,1.4
2010,Mark,169.6,821,33845,2.425764515,24.5,9.3,7.5,6.7,5.7,34,5.6,5.8,0.9
2010,Svenljunga,161.9,241,10288,2.342534992,29,14.1,6.5,5.2,3.8,29.3,3.1,7.9,1
2010,Herrljunga,166.9,252,9314,2.705604466,24.7,13,7.2,9,5.3,27.2,4.9,7.9,0.7
2010,Vara,162.8,405,15762,2.569470879,33,12.4,5.6,6.2,3.7,28.3,4.1,5.8,0.8
2010,Götene,170,344,13223,2.601527641,25.5,8.7,6.2,8.2,6.4,34.5,4.9,4.8,0.9
2010,Tibro,165.9,395,10560,3.740530303,23.4,7.3,7.2,10,4.4,36.4,4.3,6.4,0.6
2010,Töreboda,154.4,282,9113,3.094480413,24.8,11.6,3.9,5.3,4.3,37.6,5.1,6.5,0.9
2010,Göteborg,187.1,18201,513751,3.542766827,30.4,3.8,8.4,6.1,10.7,25.2,8.5,4.9,1.9
2010,Mölndal,203.2,1436,60973,2.3551408,32.9,4.8,10.3,6.5,8.5,24.8,5.3,5.6,1.4
2010,Kungälv,198.3,790,41241,1.915569458,33.2,6.6,9.1,7.1,6.3,26,4.4,6.2,1
2010,Lysekil,181.6,316,14521,2.176158667,25.6,4.2,10,4.7,6.5,36.7,5.6,5.8,0.9
2010,Uddevalla,176.3,1600,51868,3.084753605,28.8,5,6.6,6.8,7,33.4,5.2,6.1,1.1
2010,Strömstad,161.8,187,11808,1.583672087,29.3,10.9,8.6,5.2,8.5,28,4.2,4.5,0.8
2010,Vänersborg,177.6,1161,36857,3.150012209,26,5.7,7.5,5.4,7.1,34,6.7,6.3,1.2
2010,Trollhättan,176.5,2282,55248,4.130466261,24.1,3.7,7.4,4.4,6.7,42,5.8,4.9,1
2010,Alingsås,183.3,1168,37796,3.090274103,27.9,6.2,10,8.7,9.5,25.7,6.2,4.7,1.1
2010,Borås,177.4,3184,103294,3.082463647,29.1,4.7,7.7,6.2,6.5,31.9,5.6,7.1,1.3
2010,Ulricehamn,170.7,580,22838,2.539626938,29.4,12.2,6.8,7.9,6.1,26.2,3.9,6.7,0.9
2010,Åmål,160.1,525,12295,4.270028467,24.8,6.6,6,5.2,6.1,39.7,5.3,5.5,0.8
2010,Mariestad,173.1,714,23741,3.007455457,28.1,5.3,5.6,5.7,6.1,37.1,5.9,5.2,1
2010,Lidköping,181.6,1063,38048,2.793839361,26.3,7.1,6.7,6.5,6.4,35.3,5.7,5.1,0.8
2010,Skara,176.8,603,18314,3.292563067,29.4,7.3,5.8,5.5,6.3,34.4,4.6,5.6,1.1
2010,Skövde,183.1,1679,51402,3.266409867,30.3,7.5,7.3,6.3,6.3,31,4.7,5.2,1.3
2010,Hjo,170.4,253,8841,2.861667232,28.8,7.3,7.5,8.4,6.6,30.8,4.6,5.2,0.8
2010,Tidaholm,163.4,453,12572,3.603245307,22,6.8,5,5.1,4.8,43.8,5.4,6.2,0.8
2010,Falköping,166.1,958,31513,3.040015232,27.8,9.3,5.2,7.8,5.3,31.2,4.7,7.8,0.9
2010,Kil,168.5,352,11706,3.007004955,26,9.1,5.6,5.1,5.3,38,5.2,4.7,1
2010,Eda,143.7,314,8524,3.683716565,22.7,12.3,3.7,4,2.8,43,4.6,5.7,1.1
2010,Torsby,161.1,329,12414,2.650233607,24.3,8.8,3.5,3.1,2.8,44.3,7.2,4.2,1.8
2010,Storfors,165.2,220,4273,5.148607536,18,6.4,3.3,3.9,3.5,50.8,7.3,5.7,1.1
2010,Hammarö,199,350,14926,2.344901514,31.5,4.5,7.5,5.6,5.8,35.1,5,3.9,1.2
